,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
205,충청북도,25 - 29세,10801,10412,10824,12413,12332,13478,14056,13186
206,충청북도,30 - 34세,9724,8901,8307,8377,8208,8515,8377,8000
207,충청북도,35 - 39세,7225,6744,6834,7277,6772,7029,6501,5470
208,충청북도,40 - 44세,6143,5655,5437,5481,5048,5713,5243,4874
209,충청북도,45 - 49세,5486,5317,5246,5447,5232,5207,5209,4397
210,충청북도,50 - 54세,5398,5070,4807,4924,5044,5454,5442,4927
211,충청북도,55 - 59세,4966,5366,5210,5264,4911,5351,5342,4750
212,충청북도,60 - 64세,3314,3710,3881,4070,3934,4861,5387,4857
213,충청북도,65 - 69세,1946,1945,2064,2098,2100,2635,3055,2773
214,충청북도,70 - 74세,1367,1385,1319,1317,1213,1406,1511,1362
215,충청북도,75 - 79세,1025,1050,1052,1186,1000,1055,1035,801
216,충청북도,80세이상,1301,1414,1407,1511,1548,1549,1747,1590
217,충청남도,계,126456,123758,127126,122640,114837,123761,125686,116696
218,충청남도,0 - 4세,6473,6233,6379,5402,4241,4152,3726,3166
219,충청남도,5 - 9세,4388,4343,4507,4105,3472,3666,3431,3151
220,충청남도,10 - 14세,3563,3305,3404,3120,2850,2834,3024,2649
221,충청남도,15 - 19세,5989,5395,5947,5745,5483,4781,4785,5093
222,충청남도,20 - 24세,13368,13196,13380,13130,13196,14221,14722,14660
223,충청남도,25 - 29세,17497,17035,17704,18109,17578,18847,19213,17914
224,충청남도,30 - 34세,15566,14581,14475,13123,12026,12875,12743,11901
225,충청남도,35 - 39세,11213,11594,12191,11515,10218,10747,10215,8903
226,충청남도,40 - 44세,9613,9205,9372,8608,7715,8765,8992,8103
227,충청남도,45 - 49세,8719,8433,8587,8634,8159,8394,8385,7268
228,충청남도,50 - 54세,8338,7712,7895,7710,7412,8206,8648,7966
229,충청남도,55 - 59세,7298,7808,7856,7903,7316,8305,7967,7483
230,충청남도,60 - 64세,5114,5548,5803,5926,5815,7211,8127,7532
231,충청남도,65 - 69세,3183,3292,3546,3373,3221,4012,4515,4430
232,충청남도,70 - 74세,2311,2180,2114,2113,2053,2505,2739,2513
233,충청남도,75 - 79세,1729,1628,1661,1723,1667,1664,1755,1471
234,충청남도,80세이상,2094,2270,2305,2401,2415,2576,2699,2493
235,전라북도,계,68756,66531,64709,59978,58418,62625,61478,55511
236,전라북도,0 - 4세,3657,3456,2980,2580,2218,2119,1767,1427
237,전라북도,5 - 9세,2565,2554,2209,1997,1880,2019,1709,1432
238,전라북도,10 - 14세,2148,1918,1774,1568,1484,1651,1447,1351
239,전라북도,15 - 19세,3584,3394,3804,3147,3050,2883,2806,2620
240,전라북도,20 - 24세,7207,7138,7735,6686,6811,7598,8074,7364
241,전라북도,25 - 29세,8420,8200,8030,7956,8270,8680,9108,8382
242,전라북도,30 - 34세,7887,7233,6338,5680,5427,5828,5675,5026
243,전라북도,35 - 39세,6197,6052,5720,5408,5064,5308,4770,3894
244,전라북도,40 - 44세,5543,5204,4754,4322,3995,4527,4232,3861
245,전라북도,45 - 49세,4724,4674,4668,4314,4125,4410,4058,3594
246,전라북도,50 - 54세,4346,4122,4004,3797,3760,4144,3997,3855
247,전라북도,55 - 59세,3918,4072,4019,3961,3686,3948,3852,3538
248,전라북도,60 - 64세,2781,2876,2915,2997,3036,3489,3765,3681
249,전라북도,65 - 69세,1861,1899,1924,1834,1885,1981,2232,2083
250,전라북도,70 - 74세,1401,1224,1245,1243,1247,1429,1460,1234
251,전라북도,75 - 79세,1109,1035,1022,1011,984,1004,916,740
252,전라북도,80세이상,1408,1480,1568,1477,1496,1607,1610,1429
253,전라남도,계,102401,93174,90332,89411,88069,87803,85048,75640
254,전라남도,0 - 4세,5133,4541,3927,3381,3010,2783,2358,1903
255,전라남도,5 - 9세,3892,3551,3148,2943,2562,2842,2663,2242
256,전라남도,10 - 14세,3287,2648,2456,2209,1983,2040,1999,1776
257,전라남도,15 - 19세,5170,4917,4560,4488,4270,3261,3264,2796
258,전라남도,20 - 24세,9854,9201,9139,9402,9519,9293,9164,8161
259,전라남도,25 - 29세,11647,10997,10954,11492,12499,12027,11850,11037
260,전라남도,30 - 34세,11880,10003,8951,8038,7924,7778,7354,6664
261,전라남도,35 - 39세,9301,8278,8059,7840,7466,7452,6414,5397
262,전라남도,40 - 44세,8270,7112,6821,6362,5941,6077,5879,5044
